split,role,count
train,EMS,318
train,Firefighter,561
train,Firefighter/EMS,84
train,Police,1721
train,Police/EMS,202
train,Police/Firefighter,191
train,Police/Firefighter/EMS,123
validation,EMS,40
validation,Firefighter,70
validation,Firefighter/EMS,11
validation,Police,215
validation,Police/EMS,25
validation,Police/Firefighter,24
validation,Police/Firefighter/EMS,15
test,EMS,40
test,Firefighter,70
test,Firefighter/EMS,10
test,Police,216
test,Police/EMS,26
test,Police/Firefighter,24
test,Police/Firefighter/EMS,15
