group_field,group_value,numeric_field,bin_label,bin_min,bin_max,count,percentage
overall,overall,reward,0-0.4,0.0,0.4,334,0.05565739043492751
overall,overall,reward,0.4-0.5,0.4,0.5,1508,0.25129145142476256
overall,overall,reward,0.5-0.6,0.5,0.6,1411,0.23512747875354106
overall,overall,reward,0.6-0.7,0.6,0.7,1387,0.23112814530911516
overall,overall,reward,0.7-0.8,0.7,0.8,1285,0.21413097817030494
overall,overall,reward,0.8-1,0.8,1.000000001,76,0.012664555907348775
overall,overall,relevance,0-0.4,0.0,0.4,0,0.0
overall,overall,relevance,0.4-0.5,0.4,0.5,0,0.0
overall,overall,relevance,0.5-0.6,0.5,0.6,110,0.018330278286952176
overall,overall,relevance,0.6-0.7,0.6,0.7,1963,0.32711214797533744
overall,overall,relevance,0.7-0.8,0.7,0.8,3526,0.587568738543576
overall,overall,relevance,0.8-1,0.8,1.000000001,402,0.06698883519413432
overall,overall,factuality,0-0.4,0.0,0.4,0,0.0
overall,overall,factuality,0.4-0.5,0.4,0.5,5655,0.9423429428428596
overall,overall,factuality,0.5-0.6,0.5,0.6,346,0.05765705715714048
overall,overall,factuality,0.6-0.7,0.6,0.7,0,0.0
overall,overall,factuality,0.7-0.8,0.7,0.8,0,0.0
overall,overall,factuality,0.8-1,0.8,1.000000001,0,0.0
overall,overall,role_coverage,0-0.4,0.0,0.4,2798,0.46625562406265625
overall,overall,role_coverage,0.4-0.5,0.4,0.5,2,0.0003332777870354941
overall,overall,role_coverage,0.5-0.6,0.5,0.6,930,0.15497417097150476
overall,overall,role_coverage,0.6-0.7,0.6,0.7,156,0.02599566738876854
overall,overall,role_coverage,0.7-0.8,0.7,0.8,9,0.0014997500416597234
overall,overall,role_coverage,0.8-1,0.8,1.000000001,2106,0.3509415097483753
overall,overall,urgency,0-0.4,0.0,0.4,905,0.15080819863356107
overall,overall,urgency,0.4-0.5,0.4,0.5,705,0.11748041993001167
overall,overall,urgency,0.5-0.6,0.5,0.6,1705,0.2841193134477587
overall,overall,urgency,0.6-0.7,0.6,0.7,13,0.0021663056157307115
overall,overall,urgency,0.7-0.8,0.7,0.8,0,0.0
overall,overall,urgency,0.8-1,0.8,1.000000001,2673,0.44542576237293785
overall,overall,summary_word_count,0-10,0,10,14,0.0023329445092484585
overall,overall,summary_word_count,10-20,10,20,5171,0.86168971838027
overall,overall,summary_word_count,20-30,20,30,813,0.13547742042992836
overall,overall,summary_word_count,30-40,30,40,3,0.0004999166805532411
overall,overall,summary_word_count,40-60,40,60,0,0.0
overall,overall,summary_word_count,60+,60,inf,0,0.0
overall,overall,summary_char_length,0-80,0,80,49,0.008165305782369604
overall,overall,summary_char_length,80-160,80,160,5767,0.9610064989168472
overall,overall,summary_char_length,160-240,160,240,185,0.030828195300783203
overall,overall,summary_char_length,240-320,240,320,0,0.0
overall,overall,summary_char_length,320-480,320,480,0,0.0
overall,overall,summary_char_length,480+,480,inf,0,0.0
overall,overall,summary_sentence_count,0-1,0,1,0,0.0
overall,overall,summary_sentence_count,1-2,1,2,5931,0.9883352774537577
overall,overall,summary_sentence_count,2-3,2,3,68,0.0113314447592068
overall,overall,summary_sentence_count,3-4,3,4,2,0.0003332777870354941
overall,overall,summary_sentence_count,4+,4,inf,0,0.0
