role,metric,gpt4o_count,gpt4o_mean,t5_v2_count,t5_v2_mean,t5_dpo_beta_0_1_count,t5_dpo_beta_0_1_mean,dpo_minus_t5,dpo_minus_gpt
EMS,reward,593,0.7294476373518328,593,0.6397076389230181,593,0.6683602005011282,0.028652561578110136,-0.06108743685070461
EMS,relevance,593,0.7535755405171097,593,0.7572327132407468,593,0.745492469234169,-0.011740244006577805,-0.008083071282940724
EMS,factuality,593,0.47674769318928,593,0.4806721545693042,593,0.4756422950485705,-0.005029859520733704,-0.0011053981407095348
EMS,role_coverage,593,0.9094997189432266,593,0.6305508712759977,593,0.6755199550309162,0.04496908375491848,-0.23397976391231035
EMS,urgency,593,0.8230466554243957,593,0.6419898819561551,593,0.7671163575042158,0.12512647554806067,-0.055930297920179894
Firefighter,reward,1023,0.7266881395854945,1023,0.6696139338400278,1023,0.6683606779556033,-0.0012532558844244868,-0.05832746162989122
Firefighter,relevance,1023,0.7417379729897202,1023,0.7497679636147754,1023,0.7308609248441211,-0.01890703877065425,-0.010877048145599089
Firefighter,factuality,1023,0.4813399240156073,1023,0.4815665100530911,1023,0.4795107959914417,-0.002055714061649394,-0.0018291280241656271
Firefighter,role_coverage,1023,0.865265558813946,1023,0.5925382860866731,1023,0.546594982078853,-0.045943304007820096,-0.3186705767350929
Firefighter,urgency,1023,0.8684587813620072,1023,0.8414793092212447,1023,0.9168132942326492,0.07533398501140454,0.048354512870642075
Firefighter/EMS,reward,153,0.6101745733787145,153,0.6350466737780752,153,0.5438317273632666,-0.09121494641480865,-0.06634284601544793
Firefighter/EMS,relevance,153,0.6684113534130887,153,0.6920678370954846,153,0.6541704092393903,-0.03789742785609429,-0.014240944173698367
Firefighter/EMS,factuality,153,0.4757284989543989,153,0.4815313745947445,153,0.4764818005702075,-0.005049574024536985,0.0007533016158086103
Firefighter/EMS,role_coverage,153,0.7037037037037037,153,0.6377995642701525,153,0.4591503267973856,-0.1786492374727669,-0.24455337690631812
Firefighter/EMS,urgency,153,0.5827886710239651,153,0.724400871459695,153,0.5196078431372549,-0.20479302832244006,-0.0631808278867102
Police,reward,3280,0.5749459518224105,3280,0.5867609285330109,3280,0.6773949974727025,0.09063406893969161,0.102449045650292
Police,relevance,3280,0.7306023701875919,3280,0.7159055727595469,3280,0.7068442106230124,-0.009061362136534523,-0.023758159564579495
Police,factuality,3280,0.4790543101652245,3280,0.4801051805613608,3280,0.480404599083633,0.0002994185222721657,0.0013502889184084932
Police,role_coverage,3280,0.3146849593495935,3280,0.4599593495934959,3280,0.9027947154471544,0.4428353658536585,0.5881097560975609
Police,urgency,3280,0.6826727642276423,3280,0.6208790650406504,3280,0.6466971544715447,0.025818089430894364,-0.03597560975609759
Police/EMS,reward,401,0.5757334137881361,401,0.5317416743227708,401,0.5849393761703796,0.05319770184760886,0.009205962382243471
Police/EMS,relevance,401,0.6800171235367246,401,0.6756349839250373,401,0.6391571238085376,-0.03647786011649967,-0.04085999972818699
Police/EMS,factuality,401,0.476229715451338,401,0.4777360739107441,401,0.4767247300195575,-0.0010113438911865669,0.0004950145682194873
Police/EMS,role_coverage,401,0.4663341645885286,401,0.4017040731504572,401,0.6830839567747299,0.2813798836242727,0.21674979218620127
Police/EMS,urgency,401,0.6270157938487115,401,0.4774729842061513,401,0.5271820448877805,0.049709060681629225,-0.099833748960931
Police/Firefighter,reward,340,0.5809177782312674,340,0.4747501841945226,340,0.5502875385876225,0.07553735439309989,-0.030630239643644974
Police/Firefighter,relevance,340,0.6718290855050744,340,0.6731912778224796,340,0.6425796377020614,-0.03061164012041817,-0.029249447803012973
Police/Firefighter,factuality,340,0.476600589296397,340,0.475905496846227,340,0.4796563086264274,0.0037508117802003693,0.003055719330030404
Police/Firefighter,role_coverage,340,0.5446078431372549,340,0.0426470588235294,340,0.5176470588235295,0.4750000000000001,-0.026960784313725394
Police/Firefighter,urgency,340,0.5885294117647059,340,0.5581372549019608,340,0.5097058823529412,-0.048431372549019525,-0.07882352941176463
Police/Firefighter/EMS,reward,211,0.5840428049148518,211,0.4813634995222797,211,0.539967670731885,0.058604171209605316,-0.044075134182966824
Police/Firefighter/EMS,relevance,211,0.6874272045754426,211,0.6996747360057175,211,0.7044305374104335,0.004755801404715987,0.017003332834990892
Police/Firefighter/EMS,factuality,211,0.476016419193756,211,0.4873311686289819,211,0.4905083728910057,0.0031772042620237806,0.014491953697249704
Police/Firefighter/EMS,role_coverage,211,0.5345181674565561,211,0.3125592417061611,211,0.3245655608214849,0.012006319115323794,-0.2099526066350712
Police/Firefighter/EMS,urgency,211,0.5876777251184834,211,0.2606635071090047,211,0.5293838862559241,0.26872037914691943,-0.05829383886255923
