metric,value
candidate_count,6001
pair_count,3891
skipped_below_margin,2110
min_reward_margin,0.03
mean_reward_margin,0.16970961356373054
median_reward_margin,0.18344655856490133
chosen_model_count.gpt4o_teacher,2399
chosen_model_count.t5_baseline_v2,1492
split_count.test,377
split_count.train,3120
split_count.validation,394
role_count.EMS,359
role_count.Firefighter,676
role_count.Firefighter/EMS,129
role_count.Police,1961
role_count.Police/EMS,307
role_count.Police/Firefighter,302
role_count.Police/Firefighter/EMS,157
