group,num_examples,reward_mean,reward_median,reward_min,reward_p25,reward_p75,reward_max,relevance_mean,relevance_median,relevance_min,relevance_p25,relevance_p75,relevance_max,factuality_mean,factuality_median,factuality_min,factuality_p25,factuality_p75,factuality_max,role_coverage_mean,role_coverage_median,role_coverage_min,role_coverage_p25,role_coverage_p75,role_coverage_max,urgency_mean,urgency_median,urgency_min,urgency_p25,urgency_p75,urgency_max
overall,401,0.6009913209590798,0.5982940023449751,0.35491812866595057,0.5646803742647171,0.6330511528253555,0.9162096351385116,0.7902606438817527,0.792966902256012,0.6741079539060593,0.7628535032272339,0.8198391199111938,0.8855989575386047,0.5273925686030293,0.5333333333333333,0.3,0.475,0.5692307692307692,1.0,0.516209476309227,0.5,0.0,0.5,0.5,1.0,0.44655029093931836,0.5,0.0,0.4,0.5,1.0
role=EMS,40,0.6133617038837725,0.6325345891217391,0.38447289400630524,0.575403678078543,0.6723962832987307,0.9162096351385116,0.8299619764089584,0.8444651365280151,0.7558513581752777,0.8058749511837959,0.8541400730609894,0.8855989575386047,0.5895000485625486,0.5545454545454546,0.42727272727272725,0.5075000000000001,0.6128787878787878,1.0,0.5375,0.5,0.0,0.0,1.0,1.0,0.34,0.4,0.0,0.0,0.5,1.0
role=Firefighter,70,0.6490392741957771,0.660807220867047,0.42283024966716765,0.5614901432643333,0.7374119458821686,0.8591668631633123,0.8224632339818138,0.8254182636737823,0.761277049779892,0.8084081187844276,0.835362896323204,0.8786184191703796,0.5464228549228549,0.5333333333333333,0.3,0.41000000000000003,0.65,0.93,0.6714285714285714,1.0,0.0,0.5,1.0,1.0,0.45142857142857146,0.4,0.0,0.4,0.5,1.0
role=Firefighter/EMS,10,0.5902901694947722,0.6177768037174687,0.35491812866595057,0.4809104636311531,0.6836130597442388,0.8242488709092141,0.7895123168826104,0.7997336834669113,0.7442105263471603,0.7668870389461517,0.8033970817923546,0.8373902440071106,0.5118434343434344,0.5216666666666667,0.37777777777777777,0.48374999999999996,0.553409090909091,0.65,0.5,0.5,0.0,0.125,0.875,1.0,0.43,0.4,0.0,0.0,0.875,1.0
role=Police,216,0.6014025920089179,0.5974216019113858,0.4066811390898444,0.5757304148605237,0.6191918596625328,0.8569392845034599,0.780358857785662,0.7844477593898773,0.6741079539060593,0.7576090022921562,0.8053797781467438,0.8575604856014252,0.5229845103456214,0.5333333333333333,0.4076923076923077,0.475,0.5545454545454546,0.8133333333333334,0.4976851851851852,0.5,0.0,0.5,0.5,1.0,0.48996913580246915,0.5,0.0,0.4,0.5,1.0
role=Police/EMS,26,0.506407966588431,0.5523763867196712,0.3630677862465381,0.42490795321762553,0.5670247778544824,0.6257741994659106,0.7477386078009238,0.7426908984780312,0.6947573572397232,0.7233163379132748,0.7740891054272652,0.8260215222835541,0.4823875590221744,0.46527777777777773,0.42727272727272725,0.43999999999999995,0.5140384615384617,0.6266666666666667,0.3269230769230769,0.5,0.0,0.0,0.5,1.0,0.2935897435897436,0.45,0.0,0.0,0.5,0.5
role=Police/Firefighter,24,0.5723128396245204,0.5750005953013897,0.48686136285463966,0.5607575858136018,0.5831097270051638,0.6668872717022896,0.7629356092462937,0.7598116993904114,0.7088673561811447,0.749790009111166,0.7825482562184334,0.8198391199111938,0.48114150555327023,0.48878787878787877,0.3583333333333333,0.4125,0.5333333333333333,0.72,0.5,0.5,0.5,0.5,0.5,0.5,0.425,0.4,0.0,0.4,0.5,0.5
role=Police/Firefighter/EMS,15,0.5548217002916004,0.5989795863628388,0.35554070795575776,0.5148570023006515,0.6104821259829036,0.6209078550338745,0.7946211924155553,0.8014611601829529,0.7182115465402603,0.7791674733161926,0.8120902925729752,0.8328480124473572,0.49881713178462406,0.4866666666666667,0.41052631578947363,0.43125,0.5333333333333333,0.6818181818181818,0.36666666666666664,0.5,0.0,0.25,0.5,0.5,0.3933333333333333,0.5,0.0,0.45,0.5,0.5
disaster=Floods,61,0.5944268472599423,0.593349411421352,0.4066811390898444,0.5736562349730068,0.6076913633129813,0.8591668631633123,0.7782212686343272,0.786156564950943,0.6823244988918304,0.7560886144638062,0.804793506860733,0.8369053602218628,0.5052467932795801,0.475,0.3,0.43999999999999995,0.5333333333333333,1.0,0.5081967213114754,0.5,0.0,0.5,0.5,1.0,0.4704918032786885,0.5,0.0,0.5,0.5,1.0
disaster=Wildfire,55,0.6586658600235782,0.660910701751709,0.46157328337430953,0.5880663393552487,0.7362247491695664,0.8298234616716703,0.8231739634817297,0.825583279132843,0.7772899270057678,0.8090526014566422,0.8351537883281708,0.8786184191703796,0.5585835275835276,0.5625,0.3,0.46826923076923077,0.65,0.93,0.7181818181818181,1.0,0.0,0.5,1.0,1.0,0.4363636363636364,0.4,0.0,0.4,0.5,1.0
