group_field,group_value,numeric_field,count,mean,median,std,min,p10,p25,p50,p75,p90,max
disaster_type,Bombings,reward,18,0.5827915401470781,0.6003188171982765,0.09671071920536509,0.3955950796604156,0.39863597494363784,0.5691347160156477,0.6003188171982765,0.6378037664294243,0.6692649751901627,0.730202206770579
disaster_type,Bombings,relevance,18,0.7857896818055047,0.7846425324678421,0.03201731868997104,0.7221079170703888,0.7471535980701446,0.7704193070530891,0.7846425324678421,0.8005376607179642,0.8185448080301285,0.8636729717254639
disaster_type,Bombings,factuality,18,0.5332828282828282,0.51,0.08622923212682002,0.42727272727272725,0.4361818181818181,0.475,0.51,0.58875,0.65,0.7
disaster_type,Bombings,role_coverage,18,0.4444444444444444,0.5,0.23570226039551584,0.0,0.0,0.5,0.5,0.5,0.5,1.0
disaster_type,Bombings,urgency,18,0.42777777777777776,0.5,0.2346600934908281,0.0,0.0,0.4,0.5,0.5,0.5,1.0
disaster_type,Bombings,summary_word_count,18,16.88888888888889,16.0,3.14154118956789,13.0,13.7,15.25,16.0,17.75,20.6,25.0
disaster_type,Bombings,summary_char_length,18,113.61111111111111,112.0,17.547042280978793,89.0,95.5,99.5,112.0,122.75,137.60000000000002,154.0
disaster_type,Bombings,summary_sentence_count,18,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
disaster_type,Collapse,reward,40,0.6190411250053991,0.6111149407426516,0.11601101371502041,0.35491812866595057,0.49141991943120955,0.5451772425560788,0.6111149407426516,0.6998880693068107,0.7598531727836683,0.849798886179924
disaster_type,Collapse,relevance,40,0.7803877852857113,0.7769348919391632,0.04247354998579501,0.6741079539060593,0.7436373710632325,0.7541208192706108,0.7769348919391632,0.8056356459856033,0.8306967735290528,0.8708539605140686
disaster_type,Collapse,factuality,40,0.5136216006216006,0.5333333333333333,0.06098502818479345,0.37777777777777777,0.42727272727272725,0.475,0.5333333333333333,0.5333333333333333,0.5811666666666666,0.6230769230769231
disaster_type,Collapse,role_coverage,40,0.5125,0.5,0.23985839839799497,0.0,0.4500000000000002,0.5,0.5,0.5,1.0,1.0
disaster_type,Collapse,urgency,40,0.575,0.5,0.3780855960608893,0.0,0.0,0.4,0.5,1.0,1.0,1.0
disaster_type,Collapse,summary_word_count,40,16.275,16.0,2.0504846206414666,12.0,14.0,16.0,16.0,17.25,19.0,22.0
disaster_type,Collapse,summary_char_length,40,115.875,116.0,12.961852313022833,90.0,100.6,111.25,116.0,122.0,130.8,148.0
disaster_type,Collapse,summary_sentence_count,40,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
disaster_type,Crash,reward,32,0.5713499999758168,0.5726184923946858,0.0626317849493137,0.41400177597999566,0.49815039604902267,0.5406113213673234,0.5726184923946858,0.5844437480514699,0.62582567435503,0.7466474365194639
disaster_type,Crash,relevance,32,0.7654205793514848,0.7608605921268463,0.03214095393850089,0.7088673561811447,0.7263940513134003,0.7488343454897404,0.7608605921268463,0.7847305461764336,0.8095754772424698,0.8350039720535278
disaster_type,Crash,factuality,32,0.5154778554778554,0.5333333333333333,0.075882934567237,0.3583333333333333,0.377,0.4869318181818182,0.5333333333333333,0.5548076923076923,0.58,0.6733333333333333
disaster_type,Crash,role_coverage,32,0.453125,0.5,0.1480722905401495,0.0,0.5,0.5,0.5,0.5,0.5,0.5
disaster_type,Crash,urgency,32,0.4197916666666667,0.4,0.2171597986188989,0.0,0.03333333333333336,0.4,0.4,0.5,0.5,1.0
disaster_type,Crash,summary_word_count,32,17.15625,16.0,2.725144269634652,14.0,14.1,16.0,16.0,18.25,19.900000000000002,27.0
disaster_type,Crash,summary_char_length,32,117.59375,110.5,20.537706274855964,92.0,99.2,108.75,110.5,122.5,132.8,195.0
disaster_type,Crash,summary_sentence_count,32,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
disaster_type,Derailment,reward,34,0.5373345081426495,0.5753648591882143,0.08393584280738427,0.35554070795575776,0.41328775172432264,0.4861258337398369,0.5753648591882143,0.6027501934021711,0.6184220806983385,0.6705712263400738
