group_field,group_value,numeric_field,count,mean,median,std,min,p10,p25,p50,p75,p90,max
information_type,Affected individuals,reward,148,0.5890144790239787,0.5950438332226542,0.10408394939289037,0.35491812866595057,0.4664459734410047,0.5280171975493432,0.5950438332226542,0.6365205744997813,0.7137632964666074,0.9162096351385116
information_type,Affected individuals,relevance,148,0.7918474873578226,0.7906754016876221,0.042459195109598225,0.6997705698013306,0.7412579596042633,0.7605937719345093,0.7906754016876221,0.8211616650223732,0.8528447538614273,0.8855989575386047
information_type,Affected individuals,factuality,148,0.5276516139751434,0.5333333333333333,0.08325534978207565,0.37,0.43737499999999996,0.475,0.5333333333333333,0.5692307692307692,0.6181818181818182,0.9222222222222222
information_type,Affected individuals,role_coverage,148,0.4864864864864865,0.5,0.27936971058132326,0.0,0.0,0.5,0.5,0.5,1.0,1.0
information_type,Affected individuals,urgency,148,0.4132882882882883,0.5,0.3339391289928222,0.0,0.0,0.0,0.5,0.5,1.0,1.0
information_type,Affected individuals,summary_word_count,148,16.506756756756758,16.0,2.5964303638472144,11.0,13.0,15.0,16.0,18.0,20.0,26.0
information_type,Affected individuals,summary_char_length,148,114.88513513513513,113.0,17.31167811915824,72.0,93.0,105.0,113.0,123.0,136.3,170.0
information_type,Affected individuals,summary_sentence_count,148,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
information_type,Caution and advice,reward,42,0.6106827357733321,0.5989721920755174,0.09564361746034741,0.42283024966716765,0.47418914628028874,0.5756666135042906,0.5989721920755174,0.6316593400050293,0.7413882071348753,0.8569392845034599
information_type,Caution and advice,relevance,42,0.8037624550717217,0.8034671247005463,0.03440734493183243,0.7329211086034775,0.7517119765281678,0.782531313598156,0.8034671247005463,0.8314628750085831,0.8462782859802246,0.8720642924308777
information_type,Caution and advice,factuality,42,0.5003206488500606,0.475,0.10185541759690526,0.3,0.4,0.43999999999999995,0.475,0.5333333333333333,0.6476666666666666,0.8133333333333334
information_type,Caution and advice,role_coverage,42,0.5476190476190477,0.5,0.28817177739479577,0.0,0.050000000000000266,0.5,0.5,0.5,1.0,1.0
information_type,Caution and advice,urgency,42,0.4738095238095238,0.5,0.24099339512204612,0.0,0.4,0.4,0.5,0.5,0.9499999999999993,1.0
information_type,Caution and advice,summary_word_count,42,15.785714285714286,15.0,2.7896648481774284,12.0,13.0,14.0,15.0,17.0,19.9,23.0
information_type,Caution and advice,summary_char_length,42,109.73809523809524,105.0,18.59853065768516,88.0,90.30000000000001,97.25,105.0,115.25,140.6,157.0
information_type,Caution and advice,summary_sentence_count,42,1.0714285714285714,1.0,0.26066118021500656,1.0,1.0,1.0,1.0,1.0,1.0,2.0
information_type,Donations and volunteering,reward,24,0.6040406894583734,0.5978506059861846,0.0805557369762672,0.4066811390898444,0.5461058048142327,0.5834057920900257,0.5978506059861846,0.6231023775041102,0.6926509039218608,0.8093668901920319
information_type,Donations and volunteering,relevance,24,0.7763780262321234,0.7838710248470306,0.04257542671768081,0.6839219629764557,0.7073135957121849,0.7608707994222641,0.7838710248470306,0.8074287176132202,0.8211194187402725,0.8476394712924957
information_type,Donations and volunteering,factuality,24,0.5392335211085211,0.51,0.12201485362536414,0.42727272727272725,0.43999999999999995,0.4555555555555555,0.51,0.5719230769230769,0.65,1.0
information_type,Donations and volunteering,role_coverage,24,0.5208333333333334,0.5,0.1793203755891931,0.0,0.5,0.5,0.5,0.5,0.5,1.0
information_type,Donations and volunteering,urgency,24,0.4666666666666667,0.5,0.1809796209201627,0.0,0.4,0.5,0.5,0.5,0.5,1.0
