group_field,group_value,numeric_field,count,mean,median,std,min,p10,p25,p50,p75,p90,max
role_label,EMS,reward,40,0.6133617038837725,0.6325345891217391,0.12296481130895202,0.38447289400630524,0.40837435767054553,0.575403678078543,0.6325345891217391,0.6723962832987307,0.7308062220811844,0.9162096351385116
role_label,EMS,relevance,40,0.8299619764089584,0.8444651365280151,0.03480092524232673,0.7558513581752777,0.7813762784004211,0.8058749511837959,0.8444651365280151,0.8541400730609894,0.8665574461221695,0.8855989575386047
role_label,EMS,factuality,40,0.5895000485625486,0.5545454545454546,0.1353437541410665,0.42727272727272725,0.47305555555555556,0.5075000000000001,0.5545454545454546,0.6128787878787878,0.8285,1.0
role_label,EMS,role_coverage,40,0.5375,0.5,0.3985148711956714,0.0,0.0,0.0,0.5,1.0,1.0,1.0
role_label,EMS,urgency,40,0.34,0.4,0.3586298713372669,0.0,0.0,0.0,0.4,0.5,1.0,1.0
role_label,EMS,summary_word_count,40,15.775,16.0,2.8146822018543936,9.0,12.8,14.75,16.0,18.0,19.0,21.0
role_label,EMS,summary_char_length,40,109.925,111.0,19.716435289190095,49.0,88.7,101.0,111.0,123.75,130.3,146.0
role_label,EMS,summary_sentence_count,40,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
role_label,Firefighter,reward,70,0.6490392741957771,0.660807220867047,0.1136728245379063,0.42283024966716765,0.47080038055777557,0.5614901432643333,0.660807220867047,0.7374119458821686,0.7956338292933427,0.8591668631633123
role_label,Firefighter,relevance,70,0.8224632339818138,0.8254182636737823,0.026627418288853,0.761277049779892,0.7836163222789765,0.8084081187844276,0.8254182636737823,0.835362896323204,0.8612296432256699,0.8786184191703796
role_label,Firefighter,factuality,70,0.5464228549228549,0.5333333333333333,0.15264264228796345,0.3,0.37,0.41000000000000003,0.5333333333333333,0.65,0.7314423076923078,0.93
role_label,Firefighter,role_coverage,70,0.6714285714285714,1.0,0.3796042398103419,0.0,0.0,0.5,1.0,1.0,1.0,1.0
role_label,Firefighter,urgency,70,0.45142857142857146,0.4,0.21450506371703315,0.0,0.4,0.4,0.4,0.5,0.5,1.0
role_label,Firefighter,summary_word_count,70,15.3,15.0,2.69379318789146,11.0,12.0,13.0,15.0,17.0,19.0,22.0
role_label,Firefighter,summary_char_length,70,109.08571428571429,107.0,15.66750801670183,75.0,88.9,98.0,107.0,121.75,127.1,154.0
role_label,Firefighter,summary_sentence_count,70,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
role_label,Firefighter/EMS,reward,10,0.5902901694947722,0.6177768037174687,0.16759789426047805,0.35491812866595057,0.3574045679387119,0.4809104636311531,0.6177768037174687,0.6836130597442388,0.818683123856783,0.8242488709092141
role_label,Firefighter/EMS,relevance,10,0.7895123168826104,0.7997336834669113,0.028946207768000765,0.7442105263471603,0.7513146385550499,0.7668870389461517,0.7997336834669113,0.8033970817923546,0.8096256256103516,0.8373902440071106
role_label,Firefighter/EMS,factuality,10,0.5118434343434344,0.5216666666666667,0.08484311768204597,0.37777777777777777,0.37777777777777777,0.48374999999999996,0.5216666666666667,0.553409090909091,0.5869999999999999,0.65
role_label,Firefighter/EMS,role_coverage,10,0.5,0.5,0.408248290463863,0.0,0.0,0.125,0.5,0.875,1.0,1.0
role_label,Firefighter/EMS,urgency,10,0.43,0.4,0.4372896319628699,0.0,0.0,0.0,0.4,0.875,1.0,1.0
role_label,Firefighter/EMS,summary_word_count,10,16.2,16.0,3.1552425509864617,12.0,12.0,14.25,16.0,18.5,20.1,21.0
