group_field,group_value,numeric_field,bin_label,bin_min,bin_max,count,percentage
overall,overall,reward,0-0.4,0.0,0.4,13,0.032418952618453865
overall,overall,reward,0.4-0.5,0.4,0.5,39,0.09725685785536159
overall,overall,reward,0.5-0.6,0.5,0.6,161,0.4014962593516209
overall,overall,reward,0.6-0.7,0.6,0.7,129,0.32169576059850374
overall,overall,reward,0.7-0.8,0.7,0.8,47,0.1172069825436409
overall,overall,reward,0.8-1,0.8,1.000000001,12,0.029925187032418952
overall,overall,relevance,0-0.4,0.0,0.4,0,0.0
overall,overall,relevance,0.4-0.5,0.4,0.5,0,0.0
overall,overall,relevance,0.5-0.6,0.5,0.6,0,0.0
overall,overall,relevance,0.6-0.7,0.6,0.7,9,0.022443890274314215
overall,overall,relevance,0.7-0.8,0.7,0.8,222,0.5536159600997507
overall,overall,relevance,0.8-1,0.8,1.000000001,170,0.4239401496259352
overall,overall,factuality,0-0.4,0.0,0.4,18,0.04488778054862843
overall,overall,factuality,0.4-0.5,0.4,0.5,146,0.3640897755610973
overall,overall,factuality,0.5-0.6,0.5,0.6,169,0.42144638403990026
overall,overall,factuality,0.6-0.7,0.6,0.7,48,0.11970074812967581
overall,overall,factuality,0.7-0.8,0.7,0.8,9,0.022443890274314215
overall,overall,factuality,0.8-1,0.8,1.000000001,11,0.02743142144638404
overall,overall,role_coverage,0-0.4,0.0,0.4,46,0.11471321695760599
overall,overall,role_coverage,0.4-0.5,0.4,0.5,0,0.0
overall,overall,role_coverage,0.5-0.6,0.5,0.6,296,0.7381546134663342
overall,overall,role_coverage,0.6-0.7,0.6,0.7,0,0.0
overall,overall,role_coverage,0.7-0.8,0.7,0.8,0,0.0
overall,overall,role_coverage,0.8-1,0.8,1.000000001,59,0.14713216957605985
overall,overall,urgency,0-0.4,0.0,0.4,67,0.16708229426433915
overall,overall,urgency,0.4-0.5,0.4,0.5,101,0.2518703241895262
overall,overall,urgency,0.5-0.6,0.5,0.6,190,0.47381546134663344
overall,overall,urgency,0.6-0.7,0.6,0.7,0,0.0
overall,overall,urgency,0.7-0.8,0.7,0.8,0,0.0
overall,overall,urgency,0.8-1,0.8,1.000000001,43,0.10723192019950124
overall,overall,summary_word_count,0-10,0,10,2,0.004987531172069825
overall,overall,summary_word_count,10-20,10,20,349,0.8703241895261845
overall,overall,summary_word_count,20-30,20,30,50,0.12468827930174564
overall,overall,summary_word_count,30-40,30,40,0,0.0
overall,overall,summary_word_count,40-60,40,60,0,0.0
overall,overall,summary_word_count,60+,60,inf,0,0.0
overall,overall,summary_char_length,0-80,0,80,4,0.00997506234413965
overall,overall,summary_char_length,80-160,80,160,385,0.9600997506234414
overall,overall,summary_char_length,160-240,160,240,12,0.029925187032418952
overall,overall,summary_char_length,240-320,240,320,0,0.0
overall,overall,summary_char_length,320-480,320,480,0,0.0
overall,overall,summary_char_length,480+,480,inf,0,0.0
overall,overall,summary_sentence_count,0-1,0,1,0,0.0
overall,overall,summary_sentence_count,1-2,1,2,394,0.9825436408977556
overall,overall,summary_sentence_count,2-3,2,3,7,0.017456359102244388
overall,overall,summary_sentence_count,3-4,3,4,0,0.0
overall,overall,summary_sentence_count,4+,4,inf,0,0.0
