group_field,group_value,numeric_field,count,mean,median,std,min,p10,p25,p50,p75,p90,max
information_type,Affected individuals,reward,148,0.5507146235889764,0.5608935634419323,0.10040225656253114,0.32897220917046066,0.4186064390130341,0.47490338535979393,0.5608935634419323,0.5862002720125019,0.6817578977793455,0.8257243952155113
information_type,Affected individuals,relevance,148,0.7164525010522353,0.7189635686576366,0.051175570012485364,0.5823132563382387,0.6535977314412593,0.6844804432243108,0.7189635686576366,0.749140104651451,0.7826696264743804,0.8649135291576385
information_type,Affected individuals,factuality,148,0.48000517306295604,0.47760143876075745,0.00841167746688532,0.46971437335014343,0.4721848994493484,0.4746185541152954,0.47760143876075745,0.4824879765510559,0.4899147003889084,0.5252140164375305
information_type,Affected individuals,role_coverage,148,0.4864864864864865,0.5,0.27936971058132326,0.0,0.0,0.5,0.5,0.5,1.0,1.0
information_type,Affected individuals,urgency,148,0.4132882882882883,0.5,0.3339391289928222,0.0,0.0,0.0,0.5,0.5,1.0,1.0
information_type,Affected individuals,summary_word_count,148,16.506756756756758,16.0,2.5964303638472144,11.0,13.0,15.0,16.0,18.0,20.0,26.0
information_type,Affected individuals,summary_char_length,148,114.88513513513513,113.0,17.31167811915824,72.0,93.0,105.0,113.0,123.0,136.3,170.0
information_type,Affected individuals,summary_sentence_count,148,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
information_type,Caution and advice,reward,42,0.5704123827599965,0.5577898865938187,0.09043984092328045,0.4175690552592278,0.42880060198903086,0.5397909663990139,0.5577898865938187,0.5817893077619374,0.6752361936196685,0.8093674463033675
information_type,Caution and advice,relevance,42,0.7023713359210108,0.6996827505528926,0.05618657892794349,0.6073762990534305,0.6252819896675647,0.666413763165474,0.6996827505528926,0.7317354522645473,0.7785459727048873,0.8182210564613341
information_type,Caution and advice,factuality,42,0.4811868036077136,0.4780886769294739,0.010416105310107173,0.4680645763874054,0.4726849913597107,0.4734867438673973,0.4780886769294739,0.48593781888484955,0.49187577664852145,0.5189412236213684
information_type,Caution and advice,role_coverage,42,0.5476190476190477,0.5,0.28817177739479577,0.0,0.050000000000000266,0.5,0.5,0.5,1.0,1.0
information_type,Caution and advice,urgency,42,0.4738095238095238,0.5,0.24099339512204612,0.0,0.4,0.4,0.5,0.5,0.9499999999999993,1.0
information_type,Caution and advice,summary_word_count,42,15.785714285714286,15.0,2.7896648481774284,12.0,13.0,14.0,15.0,17.0,19.9,23.0
information_type,Caution and advice,summary_char_length,42,109.73809523809524,105.0,18.59853065768516,88.0,90.30000000000001,97.25,105.0,115.25,140.6,157.0
information_type,Caution and advice,summary_sentence_count,42,1.0714285714285714,1.0,0.26066118021500656,1.0,1.0,1.0,1.0,1.0,1.0,2.0
information_type,Donations and volunteering,reward,24,0.5573483687049399,0.552657215707004,0.07488135968118903,0.36400243163108825,0.5087017448861152,0.5321976250968874,0.552657215707004,0.5769045969843865,0.6071229974851011,0.7807986123114825
