group_field,group_value,numeric_field,bin_label,bin_min,bin_max,count,percentage
overall,overall,reward,0-0.4,0.0,0.4,91,0.01516413931011498
overall,overall,reward,0.4-0.5,0.4,0.5,491,0.0818196967172138
overall,overall,reward,0.5-0.6,0.5,0.6,973,0.16213964339276787
overall,overall,reward,0.6-0.7,0.6,0.7,2741,0.4567572071321446
overall,overall,reward,0.7-0.8,0.7,0.8,1654,0.2756207298783536
overall,overall,reward,0.8-1,0.8,1.000000001,51,0.0084985835694051
overall,overall,relevance,0-0.4,0.0,0.4,0,0.0
overall,overall,relevance,0.4-0.5,0.4,0.5,0,0.0
overall,overall,relevance,0.5-0.6,0.5,0.6,186,0.03099483419430095
overall,overall,relevance,0.6-0.7,0.6,0.7,2479,0.4130978170304949
overall,overall,relevance,0.7-0.8,0.7,0.8,3126,0.5209131811364772
overall,overall,relevance,0.8-1,0.8,1.000000001,210,0.03499416763872688
overall,overall,factuality,0-0.4,0.0,0.4,0,0.0
overall,overall,factuality,0.4-0.5,0.4,0.5,5919,0.9863356107315447
overall,overall,factuality,0.5-0.6,0.5,0.6,82,0.013664389268455257
overall,overall,factuality,0.6-0.7,0.6,0.7,0,0.0
overall,overall,factuality,0.7-0.8,0.7,0.8,0,0.0
overall,overall,factuality,0.8-1,0.8,1.000000001,0,0.0
overall,overall,role_coverage,0-0.4,0.0,0.4,769,0.1281453091151475
overall,overall,role_coverage,0.4-0.5,0.4,0.5,6,0.0009998333611064823
overall,overall,role_coverage,0.5-0.6,0.5,0.6,1347,0.22446258956840526
overall,overall,role_coverage,0.6-0.7,0.6,0.7,328,0.05465755707382103
overall,overall,role_coverage,0.7-0.8,0.7,0.8,19,0.003166138976837194
overall,overall,role_coverage,0.8-1,0.8,1.000000001,3532,0.5885685719046826
overall,overall,urgency,0-0.4,0.0,0.4,636,0.10598233627728712
overall,overall,urgency,0.4-0.5,0.4,0.5,543,0.09048491918013664
overall,overall,urgency,0.5-0.6,0.5,0.6,1904,0.31728045325779036
overall,overall,urgency,0.6-0.7,0.6,0.7,17,0.0028328611898017
overall,overall,urgency,0.7-0.8,0.7,0.8,0,0.0
overall,overall,urgency,0.8-1,0.8,1.000000001,2901,0.48341943009498417
overall,overall,summary_word_count,0-10,0,10,4,0.0006665555740709882
overall,overall,summary_word_count,10-20,10,20,4552,0.7585402432927846
overall,overall,summary_word_count,20-30,20,30,1441,0.24012664555907348
overall,overall,summary_word_count,30-40,30,40,4,0.0006665555740709882
overall,overall,summary_word_count,40-60,40,60,0,0.0
overall,overall,summary_word_count,60+,60,inf,0,0.0
overall,overall,summary_char_length,0-80,0,80,12,0.0019996667222129645
overall,overall,summary_char_length,80-160,80,160,5792,0.9651724712547909
overall,overall,summary_char_length,160-240,160,240,197,0.03282786202299617
overall,overall,summary_char_length,240-320,240,320,0,0.0
overall,overall,summary_char_length,320-480,320,480,0,0.0
overall,overall,summary_char_length,480+,480,inf,0,0.0
overall,overall,summary_sentence_count,0-1,0,1,0,0.0
overall,overall,summary_sentence_count,1-2,1,2,5968,0.9945009165139144
overall,overall,summary_sentence_count,2-3,2,3,32,0.005332444592567906
overall,overall,summary_sentence_count,3-4,3,4,1,0.00016663889351774705
overall,overall,summary_sentence_count,4+,4,inf,0,0.0
