role,metric,t5_count,gpt_count,t5_v2_mean,gpt4o_mean,gpt_minus_t5
EMS,reward,593,593,0.6397076389230181,0.7294476373518328,0.08973999842881475
EMS,relevance,593,593,0.7572327132407468,0.7535755405171097,-0.003657172723637081
EMS,factuality,593,593,0.4806721545693042,0.47674769318928,-0.003924461380024169
EMS,role_coverage,593,593,0.6305508712759977,0.9094997189432266,0.2789488476672288
EMS,urgency,593,593,0.6419898819561551,0.8230466554243957,0.18105677346824056
Firefighter,reward,1023,1023,0.6696139338400278,0.7266881395854945,0.05707420574546673
Firefighter,relevance,1023,1023,0.7497679636147754,0.7417379729897202,-0.008029990625055161
Firefighter,factuality,1023,1023,0.4815665100530911,0.4813399240156073,-0.00022658603748376693
Firefighter,role_coverage,1023,1023,0.5925382860866731,0.865265558813946,0.2727272727272728
Firefighter,urgency,1023,1023,0.8414793092212447,0.8684587813620072,0.02697947214076246
Firefighter/EMS,reward,153,153,0.6350466737780752,0.6101745733787145,-0.02487210039936072
Firefighter/EMS,relevance,153,153,0.6920678370954846,0.6684113534130887,-0.023656483682395923
Firefighter/EMS,factuality,153,153,0.4815313745947445,0.4757284989543989,-0.005802875640345595
Firefighter/EMS,role_coverage,153,153,0.6377995642701525,0.7037037037037037,0.06590413943355122
Firefighter/EMS,urgency,153,153,0.724400871459695,0.5827886710239651,-0.14161220043572986
Police,reward,3280,3280,0.5867609285330109,0.5749459518224105,-0.011814976710600389
Police,relevance,3280,3280,0.7159055727595469,0.7306023701875919,0.014696797428044972
Police,factuality,3280,3280,0.4801051805613608,0.4790543101652245,-0.0010508703961363275
Police,role_coverage,3280,3280,0.4599593495934959,0.3146849593495935,-0.14527439024390237
Police,urgency,3280,3280,0.6208790650406504,0.6826727642276423,0.06179369918699196
Police/EMS,reward,401,401,0.5317416743227708,0.5757334137881361,0.04399173946536539
Police/EMS,relevance,401,401,0.6756349839250373,0.6800171235367246,0.004382139611687319
Police/EMS,factuality,401,401,0.4777360739107441,0.476229715451338,-0.0015063584594060542
Police/EMS,role_coverage,401,401,0.4017040731504572,0.4663341645885286,0.06463009143807141
Police/EMS,urgency,401,401,0.4774729842061513,0.6270157938487115,0.14954280964256023
Police/Firefighter,reward,340,340,0.4747501841945226,0.5809177782312674,0.10616759403674486
Police/Firefighter,relevance,340,340,0.6731912778224796,0.6718290855050744,-0.0013621923174051975
Police/Firefighter,factuality,340,340,0.475905496846227,0.476600589296397,0.0006950924501699651
Police/Firefighter,role_coverage,340,340,0.0426470588235294,0.5446078431372549,0.5019607843137255
Police/Firefighter,urgency,340,340,0.5581372549019608,0.5885294117647059,0.0303921568627451
Police/Firefighter/EMS,reward,211,211,0.4813634995222797,0.5840428049148518,0.10267930539257214
Police/Firefighter/EMS,relevance,211,211,0.6996747360057175,0.6874272045754426,-0.012247531430274905
Police/Firefighter/EMS,factuality,211,211,0.4873311686289819,0.476016419193756,-0.011314749435225924
Police/Firefighter/EMS,role_coverage,211,211,0.3125592417061611,0.5345181674565561,0.221958925750395
Police/Firefighter/EMS,urgency,211,211,0.2606635071090047,0.5876777251184834,0.32701421800947866
